Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 10/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
Taiwan Semiconductor Manufacturing;TSM;2021- 30/09;414670.38;2021- 30/06;372145.12;2021- 31/03;362410.23;2020- 31/12;361533.06;24.3;22.85;10.86;13.67;-;https://es.investing.com/equities/taiwan-semicond.manufacturing-co
Tencent Holdings Ltd ADR;TCEHY;2021- 30/09;142368;2021- 30/06;138259;2021- 31/03;135303;2020- 31/12;133669;18.6;17.47;6.34;6.06;-;https://es.investing.com/equities/tencent-holdings-pk
UnitedHealth Group Incorporated;UNH;2021- 30/09;72337;2021- 30/06;71321;2021- 31/03;70196;2020- 31/12;65467;4.07;undefined;1.55;1.67;-;https://es.investing.com/equities/united-health-group
Johnson & Johnson;JNJ;2021- 03/10;23338;2021- 04/07;23312;2021- 04/04;22321;2021- 03/01;22475;14.81;undefined;4.69;7.06;-;https://es.investing.com/equities/johnson-johnson
Visa Inc Class A;V;2021- 30/09;6559;2021- 30/06;6130;2021- 31/03;5729;2020- 31/12;5687;18.43;16.17;18.96;24.25;-;https://es.investing.com/equities/visa-inc
GMK Norilskiy Nikel PAO ADR;NILSY;2021- 30/06;665182;2020- 31/12;655006;2020- 30/06;461963;2019- 31/12;466591;57.72;22.37;2.78;1.91;-;https://es.investing.com/equities/jsc-mmc-norilsk-nickel
Home Depot Inc;HD;2021- 31/10;36820;2021- 01/08;41118;2021- 02/05;37500;2021- 31/01;32261;36.37;24.75;2.78;3.77;-;https://es.investing.com/equities/home-depot
LVMH Moet Hennessy Louis Vuitton SA ADR;LVMUY;2021- 30/06;28665;2020- 31/12;26258;2020- 30/06;18393;2019- 31/12;28588;12.04;16.53;6.58;5.64;-;https://es.investing.com/equities/lvmh-moet-henn-l-vut
Walmart Inc;WMT;2021- 31/10;140525;2021- 31/07;141048;2021- 30/04;138310;2021- 31/01;152079;5.43;8.88;0.7;0.79;-;https://es.investing.com/equities/wal-mart-stores
Procter & Gamble Company;PG;2021- 30/09;20338;2021- 30/06;18946;2021- 31/03;18109;2020- 31/12;19745;16.45;16.91;5.11;4.03;-;https://es.investing.com/equities/procter-gamble
Nestle SA ADR;NSRGY;2021- 30/06;41755;2020- 31/12;43191;2020- 30/06;41152;2019- 31/12;47112;12.48;11.46;4.12;4.09;-;https://es.investing.com/equities/nestle-sa-pk
Roche Holding Ltd ADR;RHHBY;2021- 30/06;30713;2020- 31/12;29042;2020- 30/06;29281;2019- 31/12;30997;26.07;14.81;5.5;7.06;-;https://es.investing.com/equities/roche-holding-ltd
Mastercard Inc;MA;2021- 30/09;4985;2021- 30/06;4528;2021- 31/03;4155;2020- 31/12;4120;35.73;15.48;20.42;24.64;-;https://es.investing.com/equities/mastercard-cl-a
Pfizer Inc;PFE;2021- 03/10;24094;2021- 04/07;18977;2021- 04/04;14582;2020- 31/12;11684;13.46;12.42;4.51;7.9;-;https://es.investing.com/equities/pfizer
Alibaba Group Holdings Ltd ADR;BABA;2021- 30/09;200690;2021- 30/06;205740;2021- 31/03;187395;2020- 31/12;221084;9.08;10.77;2.76;6.11;-;https://es.investing.com/equities/alibaba
ASML Holding NV ADR;ASML;2021- 03/10;5241.3;2021- 04/07;4020.2;2021- 04/04;4363.9;2020- 31/12;4254.2;27.49;23.26;15.03;14.6;-;https://es.investing.com/equities/asml-holdings
Oracle Corporation;ORCL;2021- 30/11;10360;2021- 31/08;9728;2021- 31/05;11227;2021- 28/02;10085;11.69;13.95;5.78;29.76;-;https://es.investing.com/equities/oracle-corp
Walt Disney Company;DIS;2021- 02/10;18534;2021- 03/07;17022;2021- 03/04;15613;2021- 02/01;16249;1.59;-0.63;4.26;18.4;-;https://es.investing.com/equities/disney
Adobe Systems Incorporated;ADBE;2021- 03/12;4110;2021- 03/09;3935;2021- 04/06;3835;2021- 05/03;3905;24.68;13.95;15.39;29.76;-;https://es.investing.com/equities/adobe-sys-inc
Novo Nordisk A/S;NVO;2021- 30/09;35622;2021- 30/06;33041;2021- 31/03;33804;2020- 31/12;32138;59.69;12.42;8.69;7.9;-;https://es.investing.com/equities/novo-nordis
L’Oreal Co ADR;LRLCY;2021- 30/06;15196.6;2020- 31/12;14915.6;2020- 30/06;13076.5;2019- 31/12;15062.1;12.65;12.64;7.58;7.8;-;https://es.investing.com/equities/l-oreal-co
Netflix Inc;NFLX;2021- 30/09;7483.47;2021- 30/06;7341.78;2021- 31/03;7163.28;2020- 31/12;6644.44;15.19;-1.31;8.37;19.32;Comprar;https://es.investing.com/equities/netflix,-inc.
Thermo Fisher Scientific Inc;TMO;2021- 02/10;9330;2021- 03/07;9273;2021- 03/04;9906;2020- 31/12;10550;13.85;11.31;6.12;9.14;-;https://es.investing.com/equities/thermo-fisher-sc
Exxon Mobil Corp;XOM;2021- 30/09;71892;2021- 30/06;65943;2021- 31/03;57552;2020- 31/12;45738;-2.17;5.2;1.21;10.12;-;https://es.investing.com/equities/exxon-mobil
Nike Inc;NKE;2021- 30/11;11357;2021- 31/08;12248;2021- 31/05;12344;2021- 28/02;10357;22.02;14.16;5.36;5.61;-;https://es.investing.com/equities/nike
Toyota Motor Corporation ADR;TM;2021- 30/09;7545741;2021- 30/06;7935558;2021- 31/03;7689339;2020- 31/12;8150032;8.29;5.71;1.2;3.111;-;https://es.investing.com/equities/toyota
Broadcom Inc;AVGO;2021- 31/10;7407;2021- 01/08;6778;2021- 02/05;6610;2021- 31/01;6655;9.7;22.85;9.31;13.67;-;https://es.investing.com/equities/avago-technologies
Cisco Systems Inc;CSCO;2021- 30/10;12900;2021- 31/07;13126;2021- 01/05;12803;2021- 23/01;11960;16.19;16.84;5.08;5.06;-;https://es.investing.com/equities/cisco-sys-inc
Coca-Cola Co;KO;2021- 01/10;10042;2021- 02/07;10129;2021- 02/04;9020;2020- 31/12;8611;12.5;10.59;6.89;4.6;-;https://es.investing.com/equities/coca-cola-co
Accenture plc;ACN;2021- 30/11;14965.15;2021- 31/08;13419.28;2021- 31/05;13263.8;2021- 28/02;12088.12;23.82;16.17;4.54;24.25;Comprar;https://es.investing.com/equities/accenture-ltd
Eli Lilly and Company;LLY;2021- 30/09;6772.8;2021- 30/06;6740.1;2021- 31/03;6805.6;2020- 31/12;7440;18.07;12.42;8.94;7.9;-;https://es.investing.com/equities/eli-lilly-and-co
Salesforce.com Inc;CRM;2021- 31/10;6863;2021- 31/07;6340;2021- 30/04;5963;2021- 31/01;5817;2.95;13.48;8.95;30.35;-;https://es.investing.com/equities/salesforce-com
Prosus NV ADR;PROSY;2021- 30/09;3065;2021- 31/03;2943;2020- 30/09;2173;2020- 31/03;3330;37.29;34.56;27.82;26.55;-;https://es.investing.com/equities/prosus-nv-adr
Costco Wholesale Corp;COST;2021- 21/11;50363;2021- 29/08;62675;2021- 09/05;45277;2021- 14/02;44769;18.28;8.88;1.17;0.79;-;https://es.investing.com/equities/costco-whsl-corp-new
Abbott Laboratories;ABT;2021- 30/09;10928;2021- 30/06;10223;2021- 31/03;10456;2020- 31/12;10701;12.18;9.96;5.67;152.92;-;https://es.investing.com/equities/abbott-laboratories
PepsiCo Inc;PEP;2021- 04/09;20189;2021- 12/06;19217;2021- 20/03;14820;2020- 26/12;22455;12.52;10.52;3.14;4.76;-;https://es.investing.com/equities/pepsico
AMP Ltd ADR;AMLYY;2021- 30/06;1539;2020- 31/12;1405;2020- 30/06;1767;2019- 31/12;1854;0.86;-0.29;1.07;2;-;https://es.investing.com/equities/amp-adr
AbbVie Inc;ABBV;2021- 30/09;14342;2021- 30/06;13959;2021- 31/03;13010;2020- 31/12;13858;6.14;13.92;4.32;449.93;-;https://es.investing.com/equities/abbvie-inc
Danaher Corporation;DHR;2021- 01/10;7229;2021- 02/07;7218;2021- 02/04;6858;2020- 31/12;6760.3;8.16;11.2;7.53;9.33;-;https://es.investing.com/equities/danaher-corp
Danaher Corp Pref Series A;DHR_pa;2021- 01/10;7229;2021- 02/07;7218;2021- 02/04;6858;2020- 31/12;6760.3;8.16;11.2;7.53;9.33;-;https://es.investing.com/equities/danaher-corp-pr-a
Danaher Corp Pref Series B;DHR_pb;2021- 01/10;7229;2021- 02/07;7218;2021- 02/04;6858;2020- 31/12;6760.3;8.16;11.2;7.53;9.33;-;https://es.investing.com/equities/danaher-corp-pr-b
Chevron Corp;CVX;2021- 30/09;42552;2021- 30/06;36117;2021- 31/03;31350;2020- 31/12;24843;4.77;5.2;1.79;10.12;-;https://es.investing.com/equities/chevron
Comcast Corp;CMCSA;2021- 30/09;30298;2021- 30/06;28546;2021- 31/03;27205;2020- 31/12;27708;5.89;5.19;2.01;4.24;-;https://es.investing.com/equities/comcast-corp-new
PayPal Holdings Inc;PYPL;2021- 30/09;6182;2021- 30/06;6238;2021- 31/03;6033;2020- 31/12;6116;15.63;16.17;8.97;24.25;-;https://es.investing.com/equities/paypal-holdings-inc
Verizon Communications Inc;VZ;2021- 30/09;32915;2021- 30/06;33764;2021- 31/03;32867;2020- 31/12;34692;7.93;6.54;1.67;3.78;-;https://es.investing.com/equities/verizon-communications
Intel Corporation;INTC;2021- 25/09;19192;2021- 26/06;19631;2021- 27/03;19673;2020- 26/12;19978;16.14;23.26;2.76;14.6;-;https://es.investing.com/equities/intel-corp
FuelCell Energy Inc Pref;FCELB;2021- 31/10;13.94;2021- 31/07;26.82;2021- 30/04;13.95;2021- 31/01;14.88;-15.73;6.87;26.87;7.58;Vender;https://es.investing.com/equities/fuelcell-energy-pref
Qualcomm Incorporated;QCOM;2021- 26/09;9336;2021- 27/06;8060;2021- 28/03;7935;2020- 27/12;8235;32.17;23.26;6.02;14.6;-;https://es.investing.com/equities/qualcomm-inc
McDonald’s Corporation;MCD;2021- 30/09;6201.3;2021- 30/06;5887.9;2021- 31/03;5124.6;2020- 31/12;5313.8;15.83;-4.99;8.86;9.67;-;https://es.investing.com/equities/mcdonalds
Hermes International SA;HESAY;2021- 30/06;4235.1;2020- 31/12;3901.4;2020- 30/06;2488;2019- 31/12;3599.2;24.74;16.36;18.77;8.7;Vender;https://es.investing.com/equities/hermes-international-sa
Novartis AG ADR;NVS;2021- 30/09;13367;2021- 30/06;13294;2021- 31/03;12694;2020- 31/12;13030;10.39;14.81;4.13;7.06;-;https://es.investing.com/equities/novartis-ag
AT&T Inc ELKS;TBC;2021- 30/09;39922;2021- 30/06;44045;2021- 31/03;43939;2020- 31/12;45691;0.57;6.56;1.08;3.51;-;https://es.investing.com/equities/at-t-elks
Merck & Company Inc;MRK;2021- 30/09;13154;2021- 30/06;11402;2021- 31/03;10627;2020- 31/12;12515;9.27;12.42;4.25;7.9;-;https://es.investing.com/equities/merck---co
Insurance Australia Group Ltd ADR;IAUGY;2021- 30/06;6779;2020- 31/12;6808;2020- 30/06;6714;2019- 31/12;6703;9.26;undefined;0.81;1.54;-;https://es.investing.com/equities/insurance-a
Nextera Energy Inc;NEE;2021- 30/09;4370;2021- 30/06;3927;2021- 31/03;3726;2020- 31/12;4395;1.64;2.65;10.32;4.34;Vender;https://es.investing.com/equities/nextera-energy-inc
United Parcel Service Inc;UPS;2021- 30/09;23184;2021- 30/06;23424;2021- 31/03;22908;2020- 31/12;24896;13.27;13.28;2.01;1.83;-;https://es.investing.com/equities/united-parcel
Morgan Stanley Pa ADR;MS_pa;2021- 30/09;15041;2021- 30/06;15106;2021- 31/03;16128;2020- 31/12;14014;2.94;21.42;3.1;9.26;-;https://es.investing.com/equities/morgan-stanley-pa-adr
Morgan Stanley Pe ADR;MS_pe;2018- 31/03;12962;2017- 31/12;11091;2017- 30/09;10754;2017- 30/06;10858;2.94;21.42;3.1;9.26;-;https://es.investing.com/equities/morgan-stanley-pe-adr
Morgan Stanley Pf ADR;MS_pf;2018- 31/03;12962;2017- 31/12;11091;2017- 30/09;10754;2017- 30/06;10858;2.94;21.42;3.1;9.26;-;https://es.investing.com/equities/morgan-stanley-pf-adr
Morgan Stanley Pi ADR;MS_pi;2018- 31/03;12962;2017- 31/12;11091;2017- 30/09;10754;2017- 30/06;10858;2.94;21.42;3.1;9.26;-;https://es.investing.com/equities/morgan-stanley-pi-adr
Morgan Stanley;MS;2021- 30/09;15041;2021- 30/06;15106;2021- 31/03;16128;2020- 31/12;14014;2.94;22.04;3.1;9.29;-;https://es.investing.com/equities/morgan-stanley
Morgan Stanley Pref K;MS_pk;2018- 31/03;12962;2017- 31/12;11091;2017- 30/09;10754;2017- 30/06;10858;2.94;21.42;3.1;9.26;-;https://es.investing.com/equities/morgan-stanley-dep-shs
Intuit Inc;INTU;2021- 31/10;2007;2021- 31/07;2561;2021- 30/04;4173;2021- 31/01;1576;20.62;13.95;15.58;29.76;-;https://es.investing.com/equities/intuit
AstraZeneca PLC ADR;AZN;2021- 30/09;9866;2021- 30/06;8220;2021- 31/03;7320;2020- 31/12;7410;2.31;12.42;5.39;7.9;-;https://es.investing.com/equities/astrazeneca-plc-ads
Texas Instruments Incorporated;TXN;2021- 30/09;4643;2021- 30/06;4580;2021- 31/03;4289;2020- 31/12;4076;39.69;23.26;9.42;14.6;-;https://es.investing.com/equities/texas-instru
Linde PLC;LIN;2021- 30/09;7668;2021- 30/06;7584;2021- 31/03;7243;2020- 31/12;7272;5.23;7.1;5.79;3.71;Vender;https://es.investing.com/equities/linde-plc?cid=942017
Lowe’s Companies Inc;LOW;2021- 29/10;22918;2021- 30/07;27570;2021- 30/04;24422;2021- 29/01;20311;27.43;24.74;1.78;3.74;-;https://es.investing.com/equities/lowes-companies
AT&T Inc;T;2021- 30/09;39922;2021- 30/06;44045;2021- 31/03;43939;2020- 31/12;45691;0.57;6.54;1.08;3.78;-;https://es.investing.com/equities/at-t
Advanced Micro Devices Inc;AMD;2021- 25/09;4313;2021- 26/06;3850;2021- 27/03;3445;2020- 26/12;3244;64.94;22.85;10.73;13.67;-;https://es.investing.com/equities/adv-micro-device
Shopify Inc;SHOP;2021- 30/09;1123.74;2021- 30/06;1119.44;2021- 31/03;988.65;2020- 31/12;977.74;34.04;16.17;34.14;24.25;-;https://es.investing.com/equities/shopify-inc
Royal Dutch Shell PLC ADR;RDSa;2021- 30/09;60044;2021- 30/06;60515;2021- 31/03;55665;2020- 31/12;43989;1.67;4.92;0.82;9.18;-;https://es.investing.com/equities/royal-dutch-shell-a-plc
Royal Dutch Shell B PLC;RDSb;2021- 30/09;60044;2021- 30/06;60515;2021- 31/03;55665;2020- 31/12;43989;1.67;5.2;0.82;10.12;-;https://es.investing.com/equities/royal-dutch-shell-b-plc
SAP SE ADR;SAP;2021- 30/09;6845;2021- 30/06;6669;2021- 31/03;6348;2020- 31/12;7538;12.47;13.48;5.41;30.35;-;https://es.investing.com/equities/sap-ag-ads-exch
Union Pacific Corporation;UNP;2021- 30/09;5566;2021- 30/06;5504;2021- 31/03;5001;2020- 31/12;5141;10.66;6.1;7.72;6.33;-;https://es.investing.com/equities/union-pacific
Charles Schwab Corp;SCHW;2021- 30/09;4693;2021- 30/06;4648;2021- 31/03;4819;2020- 31/12;4272;9.32;21.42;9.41;9.26;-;https://es.investing.com/equities/charles-schwab
Sony Group Corp;SONY;2021- 30/09;2369365;2021- 30/06;2256843;2021- 31/03;2220419;2020- 31/12;2696536;4.74;13.13;1.92;1.77;-;https://es.investing.com/equities/sony
T-Mobile US Inc;TMUS;2021- 30/09;19624;2021- 30/06;19950;2021- 31/03;19759;2020- 31/12;20341;1.89;6.3;1.72;1.65;-;https://es.investing.com/equities/metropcs-communications
BHP Billiton Ltd ADR;BHP;2021- 30/06;35178;2020- 31/12;25639;2020- 30/06;20637;2019- 31/12;22294;15.39;10.15;2.61;3.84;-;https://es.investing.com/equities/bhp-billiton-ltd-nyse-exch
Blackstone Group Inc;BX;2021- 30/09;6224.27;2021- 30/06;5291.35;2021- 31/03;5298.87;2020- 31/12;3628.92;79.16;21.42;6.84;9.26;-;https://es.investing.com/equities/the-blackstone-group
BHP Group PLC ADR;BBL;2021- 30/06;35178;2020- 31/12;25639;2020- 30/06;20637;2019- 31/12;22294;15.39;9.85;2.61;3.71;-;https://es.investing.com/equities/bhp-billiton-plc
Philip Morris International Inc;PM;2021- 30/09;8122;2021- 30/06;7594;2021- 31/03;7585;2020- 31/12;7444;43.56;22.91;5.02;3.31;Vender;https://es.investing.com/equities/philip-morris-intl
Ping An Insurance Company of China;PNGAY;2021- 30/09;267774;2021- 30/06;294325;2021- 31/03;339463;2020- 31/12;297849;-31.1;-36.97;0.79;2.82;-;https://es.investing.com/equities/ping-an-insurance-company-of-china
Honeywell International Inc;HON;2021- 30/09;8473;2021- 30/06;8808;2021- 31/03;8454;2020- 31/12;8900;12.36;12.42;4.3;3.78;-;https://es.investing.com/equities/honeywell-intl
PetroChina Co Ltd ADR;PTR;2021- 30/09;683760;2021- 30/06;644658;2021- 31/03;551923;2020- 31/12;507666;6;4.92;0.38;9.18;Comprar;https://es.investing.com/equities/petrochina-co-ads-exch
Christian Dior SE ADR;CHDRY;2021- 30/06;28665;2020- 31/12;26258;2020- 30/06;18393;2019- 31/12;28588;22.09;16.36;2.3;8.7;-;https://es.investing.com/equities/christian-dior-adr
BlackRock Inc;BLK;2021- 30/09;5050;2021- 30/06;4820;2021- 31/03;4398;2020- 31/12;4478;3.93;22.04;7.23;9.29;-;https://es.investing.com/equities/blackrock,-inc.-c
Bristol-Myers Squibb Company;BMY;2021- 30/09;11624;2021- 30/06;11703;2021- 31/03;11073;2020- 31/12;11068;-5.54;12.42;3.07;7.9;-;https://es.investing.com/equities/bristol-myer-squiib
Medtronic PLC;MDT;2021- 29/10;7847;2021- 30/07;7987;2021- 30/04;8188;2021- 29/01;7775;5.65;9.96;4.45;152.92;-;https://es.investing.com/equities/medtronic
Unilever PLC ADR;UL;2021- 30/06;25791;2020- 31/12;25010;2020- 30/06;25714;2019- 31/12;25854;13.01;14.48;2.37;5.93;-;https://es.investing.com/equities/unilever-adr
CVS Health Corp;CVS;2021- 30/09;73794;2021- 30/06;72616;2021- 31/03;69097;2020- 31/12;69554;4.46;4.07;0.48;1.67;-;https://es.investing.com/equities/cvs-corp
Starbucks Corporation;SBUX;2021- 03/10;8146.7;2021- 27/06;7496.5;2021- 28/03;6668;2020- 27/12;6749.4;18.56;-4.99;4.34;9.67;-;https://es.investing.com/equities/starbucks-corp
Goldman Sachs Group Inc;GS;2021- 30/09;15161;2021- 30/06;16698;2021- 31/03;19276;2020- 31/12;13304;4.25;21.42;2.07;9.26;-;https://es.investing.com/equities/goldman-sachs-group
Goldman Sachs Group Inc Pa ADR;GS_pa;2021- 30/09;15161;2021- 30/06;16698;2021- 31/03;19276;2020- 31/12;13304;4.25;21.42;2.07;9.26;-;https://es.investing.com/equities/goldman-sachs-group-inc-pa-adr
Goldman Sachs Group Inc Pc ADR;GS_pc;2021- 30/09;15161;2021- 30/06;16698;2021- 31/03;19276;2020- 31/12;13304;4.25;21.42;2.07;9.26;-;https://es.investing.com/equities/goldman-sachs-group-inc-pc-adr
Goldman Sachs Group Inc Pk ADR;GS_pk;2021- 30/09;15161;2021- 30/06;16698;2021- 31/03;19276;2020- 31/12;13304;4.25;22.04;2.07;9.29;-;https://es.investing.com/equities/goldman-sachs-group-inc-pk-adr
Goldman Sachs Group Inc Pd ADR;GS_pd;2021- 30/09;15161;2021- 30/06;16698;2021- 31/03;19276;2020- 31/12;13304;4.25;21.42;2.07;9.26;-;https://es.investing.com/equities/goldman-sachs-group-inc-pd-adr
Goldman Sachs Group Inc Pj ADR;GS_pj;2021- 30/09;15161;2021- 30/06;16698;2021- 31/03;19276;2020- 31/12;13304;4.25;21.42;2.07;9.26;-;https://es.investing.com/equities/goldman-sachs-group-inc-pj-adr
Applied Materials Inc;AMAT;2021- 31/10;6123;2021- 01/08;6196;2021- 02/05;5582;2021- 31/01;5162;31.51;22.85;5.81;13.67;-;https://es.investing.com/equities/applied-matls-inc
Diageo PLC ADR;DEO;2021- 30/06;5859;2020- 31/12;6874;2020- 30/06;4552;2019- 31/12;7200;11.56;10.59;7.05;4.6;Vender;https://es.investing.com/equities/diageo-plc
TotalEnergies SE ADR;TTE;2021- 30/09;49070;2021- 30/06;41633;2021- 31/03;38633;2020- 31/12;32348;5.79;4.92;0.86;9.18;Comprar;https://es.investing.com/equities/total-s.a.
Estee Lauder Companies Inc;EL;2021- 30/09;4392;2021- 30/06;3936;2021- 31/03;3864;2020- 31/12;4853;21.36;14.79;7.5;6.21;-;https://es.investing.com/equities/estee-lauder
Charter Communications Inc;CHTR;2021- 30/09;13146;2021- 30/06;12802;2021- 31/03;12522;2020- 31/12;12624;3.86;5.19;2.14;4.24;-;https://es.investing.com/equities/charter-communications
BYD Co Ltd ADR;BYDDY;2021- 30/09;54306.96;2021- 30/06;49893.53;2021- 31/03;40991.87;2020- 31/12;51575.06;4.63;5.48;3.4;3.1;-;https://es.investing.com/equities/byd-co-ltd
American Tower Corp;AMT;2021- 30/09;2454.3;2021- 30/06;2298.9;2021- 31/03;2158.5;2020- 31/12;2122.5;5.73;3.86;13.44;12.69;-;https://es.investing.com/equities/amer-tower-corp
American Express Company;AXP;2021- 30/09;11037;2021- 30/06;10356;2021- 31/03;9198;2020- 31/12;9506;8.65;9.17;3.45;4.12;-;https://es.investing.com/equities/american-express
Amgen Inc;AMGN;2021- 30/09;6706;2021- 30/06;6526;2021- 31/03;5901;2020- 31/12;6634;10.7;11.19;4.97;406.43;-;https://es.investing.com/equities/amgen-inc
Raytheon Technologies Corp;RTX;2021- 30/09;16213;2021- 30/06;15880;2021- 31/03;15251;2020- 31/12;16419;2.89;3.17;2.12;10.52;-;https://es.investing.com/equities/united-tech
AIA Group Ltd ADR;AAGIY;2021- 30/06;23715;2020- 31/12;31105;2020- 30/06;19214;2019- 31/12;23090;6.27;undefined;2.29;1.09;Vender;https://es.investing.com/equities/aia-group-ltd
Sanofi ADR;SNY;2021- 30/09;10829;2021- 30/06;17931;2021- 31/03;8886;2020- 31/12;19615;12.42;undefined;2.89;7.9;-;https://es.investing.com/equities/sanofi
Prologis Inc;PLD;2021- 30/09;1183.05;2021- 30/06;1150.84;2021- 31/03;1148.32;2020- 31/12;1111.6;4.27;3.89;24.74;13.15;Vender;https://es.investing.com/equities/prologis
ServiceNow Inc;NOW;2021- 30/09;1512;2021- 30/06;1409;2021- 31/03;1360;2020- 31/12;1250.33;4.18;13.95;20.38;29.76;-;https://es.investing.com/equities/servicenow-inc
Intuitive Surgical Inc;ISRG;2021- 30/09;1403.3;2021- 30/06;1464;2021- 31/03;1292.1;2020- 31/12;1329.1;15.86;10.18;21.09;124.85;-;https://es.investing.com/equities/intuitive-surgical-inc
Sea Ltd;SE;2021- 30/09;2688.88;2021- 30/06;2280.55;2021- 31/03;1763.64;2020- 31/12;1566.55;-25.63;-1.31;12.5;19.32;-;https://es.investing.com/equities/sea-limited
S&P Global Inc;SPGI;2021- 30/09;2087;2021- 30/06;2106;2021- 31/03;2016;2020- 31/12;1867;44.77;22.04;13.33;9.29;-;https://es.investing.com/equities/mcgraw-hill
Moderna Inc;MRNA;2021- 30/09;4969;2021- 30/06;4354;2021- 31/03;1937;2020- 31/12;570.75;99.86;11.19;7.33;406.43;Comprar;https://es.investing.com/equities/moderna
International Business Machines;IBM;2021- 30/09;17618;2021- 30/06;18745;2021- 31/03;17730;2020- 31/12;20367;4.16;16.17;1.62;24.25;-;https://es.investing.com/equities/ibm
JD.com Inc Adr;JD;2021- 30/09;218708.36;2021- 30/06;253800.47;2021- 31/03;203176.17;2020- 31/12;224328.15;11.9;10.77;0.76;6.11;-;https://es.investing.com/equities/jd.com-inc-adr
Boeing Co;BA;2021- 30/09;15278;2021- 30/06;16998;2021- 31/03;15217;2020- 31/12;15802;-13.22;3.09;2;12.02;-;https://es.investing.com/equities/boeing-co
NextEra Energy Inc Unit;NEE_pq;2021- 30/09;4370;2021- 30/06;3927;2021- 31/03;3726;2020- 31/12;4395;1.64;2.64;10.32;4.17;Vender;https://es.investing.com/equities/nextera-energy-inc-unit
Caterpillar Inc;CAT;2021- 30/09;12397;2021- 30/06;12889;2021- 31/03;11887;2020- 31/12;11235;9.43;11.37;2.51;6.39;-;https://es.investing.com/equities/caterpillar
Zoetis Inc;ZTS;2021- 30/09;1990;2021- 30/06;1948;2021- 31/03;1871;2020- 31/12;1807;16.81;14.81;13.11;7.06;Vender;https://es.investing.com/equities/zoetis-inc
Merck KGaA ADR;MKKGY;2021- 30/09;4973;2021- 30/06;4870;2021- 31/03;4631;2020- 31/12;4598;8.01;14.81;1.41;7.06;-;https://es.investing.com/equities/merck-kgaa-pk
Anthem Inc;ANTM;2021- 30/09;35822;2021- 30/06;33851;2021- 31/03;32385;2020- 31/12;31760;3.56;undefined;0.79;1.67;-;https://es.investing.com/equities/wellpoint-inc
Deere & Company;DE;2021- 31/10;11327;2021- 01/08;11500;2021- 02/05;12058;2021- 31/01;9112;11.02;11.37;2.65;6.39;-;https://es.investing.com/equities/deere---co
Target Corporation;TGT;2021- 30/10;25652;2021- 31/07;25160;2021- 01/05;24197;2021- 30/01;28339;21.75;15.91;1.07;1.16;-;https://es.investing.com/equities/target
